Filename,LowerCorner,UpperCorner
111_E_BUILD_94171005_0.gml,185538.077 2488179.148 0.0,186542.057 2488884.724 17.805
111_E_BUILD_94171006_0.gml,186512.684 2486532.411 0.0,189167.165 2488872.238 38.329
111_E_BUILD_94171007_0.gml,189073.308 2486377.431 0.0,190007.804 2488864.289 32.41
111_E_BUILD_94181008_0.gml,192805.099 2541439.466 0.0,194389.847 2542122.33 11.303
111_E_BUILD_94181009_0.gml,194463.952 2541447.171 0.0,196977.328 2544197.368 22.454
111_E_BUILD_94181010_0.gml,196996.63 2541417.955 0.0,199572.343 2544183.632 16.789
111_E_BUILD_94181017_0.gml,191637.505 2538694.809 0.0,191691.701 2538749.777 4.115
111_E_BUILD_94181018_0.gml,191861.473 2538663.436 0.0,194441.178 2541414.658 10.338
111_E_BUILD_94181019_0.gml,194415.303 2538651.758 0.0,196967.457 2541445.812 17.043
111_E_BUILD_94181020_0.gml,197267.247 2538628.325 0.0,199560.801 2541411.393 242.341
111_E_BUILD_94181027_0.gml,190791.581 2535912.771 0.0,191856.805 2538682.05 13.03
111_E_BUILD_94181028_0.gml,191840.489 2535888.642 0.0,194420.106 2538681.115 41.504
111_E_BUILD_94181029_0.gml,194407.11 2535877.919 0.0,196948.469 2538665.602 121.92
111_E_BUILD_94181030_0.gml,197053.39 2535867.246 0.0,199559.118 2538674.398 19.761
111_E_BUILD_94181031_0.gml,173949.597 2533225.161 0.0,176428.17 2533847.344 7.228
111_E_BUILD_94181032_0.gml,176524.32 2533191.659 0.0,178605.583 2533671.957 14.275
111_E_BUILD_94181035_0.gml,184435.017 2533157.33 0.0,186663.443 2534568.301 9.22
111_E_BUILD_94181036_0.gml,187007.263 2533150.104 0.0,189274.655 2535630.302 62.281
111_E_BUILD_94181037_0.gml,189273.561 2533135.87 0.0,191862.788 2535906.702 135.712
111_E_BUILD_94181038_0.gml,191831.99 2533143.063 0.0,194413.251 2535927.502 20.041
111_E_BUILD_94181039_0.gml,194400.391 2533108.006 0.0,196997.8 2535908.527 41.427
111_E_BUILD_94181040_0.gml,196946.629 2533110.635 0.0,199548.876 2535889.328 92.507
111_E_BUILD_94181041_0.gml,173863.434 2530428.016 0.0,176490.749 2533185.752 29.413
111_E_BUILD_94181042_0.gml,176393.598 2530415.775 0.0,179019.315 2533220.418 30.074
111_E_BUILD_94181043_0.gml,180068.871 2530414.819 0.0,181579.665 2532176.458 44.755
111_E_BUILD_94181043_1.gml,178964.318 2530414.146 0.0,181577.632 2533151.579 39.751
111_E_BUILD_94181044_0.gml,181552.936 2530383.691 0.0,184144.164 2532209.296 48.743
111_E_BUILD_94181045_0.gml,184123.615 2530385.742 0.0,186712.659 2533163.852 21.666
111_E_BUILD_94181046_0.gml,186694.414 2530376.641 0.0,189264.334 2533157.816 35.382
111_E_BUILD_94181047_0.gml,189281.196 2530385.949 0.0,191811.68 2533154.818 20.523
111_E_BUILD_94181048_0.gml,191818.097 2530439.454 0.0,194401.923 2533168.443 77.902
111_E_BUILD_94181049_0.gml,194389.338 2530349.454 0.0,196984.45 2533129.049 47.371
111_E_BUILD_94181049_1.gml,194388.535 2530407.023 0.0,196973.131 2533129.172 84.938
111_E_BUILD_94181050_0.gml,196924.687 2530346.882 0.0,199541.3 2533127.087 39.726
111_E_BUILD_94181051_0.gml,173852.612 2527674.195 0.0,175940.797 2530455.429 26.137
111_E_BUILD_94181051_1.gml,173838.835 2527653.16 0.0,175940.804 2530482.166 24.079
111_E_BUILD_94181051_2.gml,173853.254 2527677.176 0.0,176437.184 2530460.499 38.481
111_E_BUILD_94181052_0.gml,176384.865 2527647.249 0.0,179010.154 2530440.346 19.583
111_E_BUILD_94181053_0.gml,178966.232 2527644.683 0.0,181561.347 2530428.107 66.294
111_E_BUILD_94181054_0.gml,181542.619 2527610.828 0.0,184135.341 2530423.373 275.996
111_E_BUILD_94181055_0.gml,184117.551 2527624.227 0.0,186692.038 2530408.063 37.389
111_E_BUILD_94181056_0.gml,186680.879 2527606.019 0.0,189149.663 2530396.183 18.11
111_E_BUILD_94181057_0.gml,189336.782 2527618.045 0.0,191794.261 2530327.859 12.776
111_E_BUILD_94181058_0.gml,192053.208 2527651.034 0.0,194305.857 2529936.302 16.231
111_E_BUILD_94181059_0.gml,194457.007 2527573.249 0.0,196918.901 2530374.304 19.126
